date,value,name
2020-02-05,11,德国
2020-02-05,3,印度
2020-02-05,3,意大利
2020-02-05,25,日本
2020-02-05,10,马来西亚
2020-02-05,1,尼泊尔
2020-02-05,2,菲律宾
2020-02-05,2,俄罗斯联邦
2020-02-05,24,新加坡
2020-02-05,18,韩国
2020-02-05,1,西班牙
2020-02-05,1,斯里兰卡
2020-02-05,1,瑞典
2020-02-05,25,泰国
2020-02-05,5,阿联酋
2020-02-05,2,英国
2020-02-05,11,美国
2020-02-05,10,越南
2020-02-06,13,澳大利亚
2020-02-06,1,比利时
2020-02-06,1,柬埔寨
2020-02-06,5,加拿大
2020-02-06,1,芬兰
2020-02-06,6,法国
2020-02-06,11,德国
2020-02-06,3,印度
2020-02-06,3,意大利
2020-02-06,25,日本
2020-02-06,12,马来西亚
2020-02-06,1,尼泊尔
2020-02-06,3,菲律宾
2020-02-06,2,俄罗斯联邦
2020-02-06,28,新加坡
2020-02-06,23,韩国
2020-02-06,1,西班牙
2020-02-06,1,斯里兰卡
2020-02-06,1,瑞典
2020-02-06,25,泰国
2020-02-06,5,阿联酋
2020-02-06,2,英国
2020-02-06,12,美国
2020-02-06,10,越南
2020-02-07,14,澳大利亚
2020-02-07,1,比利时
2020-02-07,1,柬埔寨
2020-02-07,7,加拿大
2020-02-07,1,芬兰
2020-02-07,6,法国
2020-02-07,12,德国
2020-02-07,3,印度
2020-02-07,3,意大利
2020-02-07,25,日本
2020-02-07,14,马来西亚
2020-02-07,1,尼泊尔
2020-02-07,3,菲律宾
2020-02-07,2,俄罗斯联邦
2020-02-07,30,新加坡
2020-02-07,24,韩国
2020-02-07,1,西班牙
2020-02-07,1,斯里兰卡
2020-02-07,1,瑞典
2020-02-07,25,泰国
2020-02-07,5,阿联酋
2020-02-07,3,英国
2020-02-07,12,美国
2020-02-07,12,越南
2020-02-08,14,澳大利亚
2020-02-08,1,比利时
2020-02-08,1,柬埔寨
2020-02-08,7,加拿大
2020-02-08,1,芬兰
2020-02-08,11,法国
2020-02-08,13,德国
2020-02-08,3,印度
2020-02-08,3,意大利
2020-02-08,25,日本
2020-02-08,15,马来西亚
2020-02-08,1,尼泊尔
2020-02-08,3,菲律宾
2020-02-08,2,俄罗斯联邦
2020-02-08,33,新加坡
2020-02-08,24,韩国
2020-02-08,1,西班牙
2020-02-08,1,斯里兰卡
2020-02-08,1,瑞典
2020-02-08,32,泰国
2020-02-08,7,阿联酋
2020-02-08,3,英国
2020-02-08,12,美国
2020-02-08,13,越南
2020-02-09,14,澳大利亚
2020-02-09,1,比利时
2020-02-09,1,柬埔寨
2020-02-09,7,加拿大
2020-02-09,1,芬兰
2020-02-09,11,法国
2020-02-09,13,德国
